;Name;Status;2016;2017;2018;2019;2020
Gia Lai;Chư Pưh;District;73201.16973;74610.47312;76046.90909;77511;78975.09091
Gia Lai;Chư Sê;District;117191.83867;118761.76741;120352.72727;121965;123577.27273
Gia Lai;Đăk Đoa;District;116580.59476;118772.91123;121006.45455;123282;125557.54545
Gia Lai;Đăk Pơ;District;39784.23499;40002.29264;40221.54545;40442;40662.45455
Gia Lai;Đức Cơ;District;72046.18715;73249.90166;74473.72727;75718;76962.27273
Gia Lai;Ia Grai;District;101081.61318;102586.55802;104113.90909;105664;107214.09091
Gia Lai;Ia Pa;District;54557.52128;55228.72278;55908.18182;56596;57283.81818
Gia Lai;KBang;District;64418.24215;64756.05351;65095.63636;65437;65778.36364
Gia Lai;Kông Chro;District;49786.09483;50644.51062;51517.72727;52406;53294.27273
Gia Lai;Krông Pa;District;82648.74575;83885.88644;85141.54545;86416;87690.45455
Gia Lai;Mang Yang;District;64233.66097;65552.83003;66899.09091;68273;69646.90909
Gia Lai;Phú Thiện;District;76533.31798;77224.943;77922.81818;78627;79331.18182
Gia Lai;Pleiku;District-level City;242416.99156;246476.95254;250604.90909;254802;258999.09091
Hà Giang;Hà Giang;Province;819674.78399;831180.59278;842847.90909;854679;866510.09091
Hà Giang;Bắc Mê;District;52637.70434;53281.23654;53932.63636;54592;55251.36364
Hà Giang;Bắc Quang;District;114974.54883;116199.92631;117438.36364;118690;119941.63636
Hà Giang;Đồng Văn;District;77298.30884;78796.32078;80323.36364;81880;83436.63636
Hà Giang;Hà Giang;District-level City;52804.10398;53706.8802;54625.09091;55559;56492.90909
Hà Giang;Hoàng Su Phì;District;64723.60197;65370.25248;66023.36364;66683;67342.63636
Hà Giang;Mèo Vạc;District;81804.67972;83202.75663;84624.72727;86071;87517.27273
Hà Giang;Quản Bạ;District;51066.7513;51857.52576;52660.54545;53476;54291.45455
Hà Giang;Quang Bình;District;60325.6792;60783.96249;61245.72727;61711;62176.27273
Hà Giang;Vị Xuyên;District;106493.56759;107801.25492;109125;110465;111805
Hà Giang;Xín Mần;District;65360.07482;66228.13659;67107.72727;67999;68890.27273
Hà Giang;Yên Minh;District;92218.39668;93963.37079;95741.36364;97553;99364.63636
Hải Dương;Hải Dương;Province;1841658.58158;1858371.59205;1875236.27273;1892254;1909271.72727
Hải Dương;Bình Giang;District;115328.15045;116614.04283;117914.27273;119229;120543.72727
Hải Dương;Cẩm Giàng;District;142256.31841;144083.96427;145935.09091;147810;149684.90909
Hải Dương;Chí Linh;District-level Town;167965.17944;169259.78242;170564.36364;171879;173193.63636
Hải Dương;Gia Lộc;District;146765.21696;148260.85137;149771.72727;151298;152824.27273
Hải Dương;Hải Dương;District-level City;233742.93161;236259.1047;238802.36364;241373;243943.63636
Hải Dương;Kim Thành;District;132456.27967;133676.24893;134907.45455;136150;137392.54545
Hải Dương;Kinh Môn;District;168339.03444;169728.19453;171128.81818;172541;173953.18182
Hải Dương;Nam Sách;District;122483.43069;123750.79485;125031.27273;126325;127618.72727
Hải Dương;Ninh Giang;District;145144.43218;145592.56973;146042.09091;146493;146943.90909
Hải Dương;Thanh Hà;District;161472.39209;162448.02136;163429.54545;164417;165404.45455
Hải Dương;Thanh Miện;District;133527.42507;134850.79108;136187.27273;137537;138886.72727
Hải Dương;Tứ Kỳ;District;172209.63175;173857.92759;175522;177202;178882
Hải Phòng;Hải Phòng;Municipality;1976776.29219;1993873.88738;2011119.36364;2028514;2045908.63636
Hải Phòng;An Dương;District;186334.86107;189411.17258;192538.27273;195717;198895.72727
Hải Phòng;An Lão;District;142820.73709;144106.2198;145403.27273;146712;148020.72727
Hải Phòng;Bạch Long Vĩ;District;702.93036;675.56903;649.27273;624;598.72727
Hải Phòng;Cát Hải;District;31436.12847;31652.5917;31870.54545;32090;32309.45455
Hải Phòng;Đồ Sơn;Urban District;47807.91617;48211.5271;48618.54545;49029;49439.45455
Hải Phòng;Dương Kinh;Urban District;57205.34849;58224.95141;59262.72727;60319;61375.27273
Hải Phòng;Hải An;Urban District;125012.6753;127602.11058;130245.18182;132943;135640.81818
Hải Phòng;Hồng Bàng;Urban District;97622.67507;97116.15987;96612.27273;96111;95609.72727
Hải Phòng;Kiến An;Urban District;112505.85323;114323.38192;116170.27273;118047;119923.72727
Hải Phòng;Kiến Thụy;District;136608.41686;137866.32602;139135.81818;140417;141698.18182
Hải Phòng;Lê Chân;Urban District;217007.04749;217921.50609;218839.81818;219762;220684.18182
Hải Phòng;Ngô Quyền;Urban District;165118.98194;165182.29701;165245.63636;165309;165372.36364
Hải Phòng;Thủy Nguyên;District;325502.78914;328248.63121;331017.63636;333810;336602.36364
Hải Phòng;Tiên Lãng;District;151136.02821;152344.00482;153561.63636;154789;156016.36364
Hải Phòng;Vĩnh Bảo;District;180188.23906;181066.20785;181948.45455;182835;183721.54545
Hà Nam;Hà Nam;Province;834185.73557;840344.90257;846549.54545;852800;859050.45455
Hà Nam;Bình Lục;District;132983.28258;133004.1851;133025.09091;133046;133066.90909
Hà Nam;Duy Tiên;District;130861.10469;132924.69079;135020.81818;137150;139279.18182
Hà Nam;Kim Bảng;District;124456.51605;124847.77937;125240.27273;125634;126027.72727
Hà Nam;Lý Nhân;District;179015.82807;179406.03422;179797.09091;180189;180580.90909
